"(PDH-CSV 4.0) (Coordinated Universal Time)(0)","\\EC2AMAZ-LAEQ1CL\Memory\Page Faults/sec","\\EC2AMAZ-LAEQ1CL\Memory\Available Bytes","\\EC2AMAZ-LAEQ1CL\Memory\Committed Bytes","\\EC2AMAZ-LAEQ1CL\Memory\Commit Limit","\\EC2AMAZ-LAEQ1CL\Memory\Write Copies/sec","\\EC2AMAZ-LAEQ1CL\Memory\Transition Faults/sec","\\EC2AMAZ-LAEQ1CL\Memory\Cache Faults/sec","\\EC2AMAZ-LAEQ1CL\Memory\Demand Zero Faults/sec","\\EC2AMAZ-LAEQ1CL\Memory\Pages/sec","\\EC2AMAZ-LAEQ1CL\Memory\Pages Input/sec","\\EC2AMAZ-LAEQ1CL\Memory\Page Reads/sec","\\EC2AMAZ-LAEQ1CL\Memory\Pages Output/sec","\\EC2AMAZ-LAEQ1CL\Memory\Pool Paged Bytes","\\EC2AMAZ-LAEQ1CL\Memory\Pool Nonpaged Bytes","\\EC2AMAZ-LAEQ1CL\Memory\Page Writes/sec","\\EC2AMAZ-LAEQ1CL\Memory\Pool Paged Allocs","\\EC2AMAZ-LAEQ1CL\Memory\Pool Nonpaged Allocs","\\EC2AMAZ-LAEQ1CL\Memory\Free System Page Table Entries","\\EC2AMAZ-LAEQ1CL\Memory\Cache Bytes","\\EC2AMAZ-LAEQ1CL\Memory\Cache Bytes Peak","\\EC2AMAZ-LAEQ1CL\Memory\Pool Paged Resident Bytes","\\EC2AMAZ-LAEQ1CL\Memory\System Code Total Bytes","\\EC2AMAZ-LAEQ1CL\Memory\System Code Resident Bytes","\\EC2AMAZ-LAEQ1CL\Memory\System Driver Total Bytes","\\EC2AMAZ-LAEQ1CL\Memory\System Driver Resident Bytes","\\EC2AMAZ-LAEQ1CL\Memory\System Cache Resident Bytes","\\EC2AMAZ-LAEQ1CL\Memory\% Committed Bytes In Use","\\EC2AMAZ-LAEQ1CL\Memory\Available KBytes","\\EC2AMAZ-LAEQ1CL\Memory\Available MBytes","\\EC2AMAZ-LAEQ1CL\Memory\Transition Pages RePurposed/sec","\\EC2AMAZ-LAEQ1CL\Memory\Free & Zero Page List Bytes","\\EC2AMAZ-LAEQ1CL\Memory\Modified Page List Bytes","\\EC2AMAZ-LAEQ1CL\Memory\Standby Cache Reserve Bytes","\\EC2AMAZ-LAEQ1CL\Memory\Standby Cache Normal Priority Bytes","\\EC2AMAZ-LAEQ1CL\Memory\Standby Cache Core Bytes","\\EC2AMAZ-LAEQ1CL\Memory\Long-Term Average Standby Cache Lifetime (s)","\\EC2AMAZ-LAEQ1CL\Processor(_Total)\% Processor Time"
"03/26/2025 09:42:26.167","0","14580477952","2257870848","20266467328","0","1.9809138946252853319","0","0","0","0","0","0","222617600","78565376","0","0","0","16227725","88600576","103563264","201342976","8192","17100800","15667200","40271872","88600576","11.140919665605974131","14238748","13905","0","12483600384","180588544","843804672","1253072896","0","14400","0"
"03/26/2025 09:42:27.161","6.0335004076635110337","14580473856","2257870848","20266467328","0","0","0","6.0335004076635110337","0","0","0","0","222617600","78565376","0","0","0","16227725","88600576","103563264","201342976","8192","17100800","15667200","40271872","88600576","11.140919665605974131","14238744","13905","0","12483596288","180588544","843804672","1253072896","0","14400","0.96752278011063008734"
"03/26/2025 09:42:28.169","0","14580527104","2257870848","20266467328","0","0","0","0","0","0","0","0","222617600","78565376","0","0","0","16227726","88600576","103563264","201342976","8192","17100800","15667200","40271872","88600576","11.140919665605974131","14238796","13905","0","12483645440","180588544","843804672","1253076992","0","14400","0"
"03/26/2025 09:42:29.157","4.0454653670744020744","14580658176","2257649664","20266467328","0","0","1.0113663417686005186","3.0340990253058017778","0","0","0","0","222617600","78565376","0","0","0","16227674","88604672","103563264","201342976","8192","17100800","15667200","40271872","88604672","11.13982829524665874","14238924","13905","0","12483780608","180609024","843804672","1253072896","0","14400","0.44631402825336952134"
"03/26/2025 09:42:30.165","0.9920304243826791879","14580690944","2257649664","20266467328","0","0","0","0.9920304243826791879","0","0","0","0","222617600","78565376","0","0","0","16227690","88604672","103563264","201342976","8192","17100800","15667200","40271872","88604672","11.13982829524665874","14238956","13905","0","12483813376","180609024","843804672","1253072896","0","14400","0"
"03/26/2025 09:42:31.157","65.534981716244217864","14582386688","2256269312","20266467328","0","54.444446348879807829","0","13.106996343248843218","0","0","0","0","222617600","78565376","0","0","0","16227647","88604672","103563264","201342976","8192","17100800","15667200","40271872","88604672","11.13301727714320144","14240612","13906","0","12485464064","180572160","843804672","1253117952","0","14400","0"
"03/26/2025 09:42:32.158","9.9968869693977300273","14582222848","2255945728","20266467328","0","0","0","10.996575666337502497","0","0","0","0","222617600","78565376","0","0","0","16227657","88604672","103563264","201342976","8192","17100800","15667200","40271872","88604672","11.131420641003971994","14240452","13906","0","12485300224","180572160","843804672","1253117952","0","14400","0.02607320010941105437"
"03/26/2025 09:42:33.158","0.99989871026065046955","14582272000","2255896576","20266467328","0","0","0","0.99989871026065046955","0","0","0","0","222617600","78565376","0","0","0","16227667","88604672","103563264","201342976","8192","17100800","15667200","40271872","88604672","11.131178101322422691","14240500","13906","0","12485349376","180572160","843804672","1253117952","0","14400","0.011258732266750115514"
"03/26/2025 09:42:34.161","0","14582353920","2255405056","20266467328","0","0","0","0","0","0","0","0","222617600","78565376","0","0","0","16227679","88604672","103563264","201342976","8192","17100800","15667200","40271872","88604672","11.128752820922237277","14240580","13906","0","12485431296","180572160","843804672","1253117952","0","14400","0.32045975393706349621"
"03/26/2025 09:42:35.169","5.9518861427988420942","14582435840","2255319040","20266467328","0","0.99198102379980701571","0","5.9518861427988420942","0","0","0","0","222617600","78565376","0","0","0","16227684","88604672","103563264","201342976","8192","17100800","15667200","40271872","88604672","11.128328393941821162","14240660","13906","0","12485513216","180568064","843804672","1253117952","0","14400","0.060658996481832705427"
"03/26/2025 09:42:36.157","0","14582476800","2255097856","20266467328","0","0","0","0","0","0","0","0","222617600","78565376","0","0","0","16227684","88604672","103563264","201342976","8192","17100800","15667200","40271872","88604672","11.12723702358250577","14240700","13906","0","12485554176","180568064","843804672","1253117952","0","14400","0"
"03/26/2025 09:42:37.166","69.436350425421636601","14582444032","2254876672","20266467328","0","0","0","100.18673418525122543","0","0","0","0","222617600","78565376","0","0","0","16227684","88604672","103563264","201342976","8192","17100800","15667200","40271872","88604672","11.126145629940122461","14240668","13906","0","12485521408","180596736","843804672","1253117952","0","14400","0.032832627497969557595"
"03/26/2025 09:42:38.157","5614.5264578509195417","14565937152","2275524608","20266467328","0","9.0752044038538564052","1.0083560448726507364","5718.3871304728018004","0","0","0","0","222662656","78565376","0","0","0","16227687","88608768","103563264","201388032","8192","17100800","15667200","40271872","88608768","11.228027895844547857","14224548","13891","0","12469014528","180596736","843804672","1253117952","0","14400","2.7092940875387050426"
"03/26/2025 09:42:39.163","2646.6162306124679162","14573027328","2263908352","20266467328","0","2602.903349926676583","0.99347456104071618643","43.712880685791510871","0","0","0","0","222642176","78565376","0","0","0","16227676","88612864","103563264","201367552","8192","17100800","15667200","40271872","88612864","11.170710276619230328","14231472","13897","0","12476112896","197857280","843804672","1253109760","0","14400","1.7808485608379442944"
"03/26/2025 09:42:40.157","2.0131640799185874791","14573412352","2263855104","20266467328","0","2.0131640799185874791","0","0","0","0","0","0","222642176","78565376","0","0","0","16227688","88608768","103563264","201367552","8192","17100800","15667200","40271872","88608768","11.170447550520870905","14231848","13898","0","12476489728","197853184","843804672","1253117952","0","14400","0.95637281032462384545"
"03/26/2025 09:42:41.170","521.33144100552192413","14583296000","2253926400","20266467328","0","255.72886973566323832","0","266.58994142327827603","0","0","0","0","222642176","78565376","0","0","0","16227688","88608768","103563264","201367552","8192","17100800","15667200","40271872","88608768","11.121456746738743959","14241500","13907","0","12486373376","197849088","843804672","1253117952","0","14400","0.11745384701579153486"
"03/26/2025 09:42:42.157","164.06437278342195896","14582411264","2253926400","20266467328","6.0764582512378497725","137.73305369472461734","0","26.331319088697352271","0","0","0","0","222642176","78565376","0","0","0","16227739","88608768","103563264","201367552","8192","17100800","15667200","40271872","88608768","11.121456746738743959","14240636","13906","0","12485488640","197664768","843804672","1253117952","0","14400","0.6817571735789895726"
